127.0.0.1 - - [15/May/2014:11:26:35 -0500] "GET / HTTP/1.1" 404 961
127.0.0.1 - - [15/May/2014:11:26:40 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 288
127.0.0.1 - - [15/May/2014:11:26:41 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:26:41 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:27:39 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 377
127.0.0.1 - - [15/May/2014:11:27:39 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:27:39 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:27:58 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 395
127.0.0.1 - - [15/May/2014:11:27:58 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:27:58 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:28:12 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 404
127.0.0.1 - - [15/May/2014:11:28:12 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:28:12 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:28:41 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 418
127.0.0.1 - - [15/May/2014:11:28:41 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:28:41 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:48:01 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 472
127.0.0.1 - - [15/May/2014:11:48:01 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 200 37006
127.0.0.1 - - [15/May/2014:11:48:01 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:48:01 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:51:56 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 486
127.0.0.1 - - [15/May/2014:11:51:56 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 304 -
127.0.0.1 - - [15/May/2014:11:51:56 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:51:56 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:52:06 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 486
127.0.0.1 - - [15/May/2014:11:52:06 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:52:06 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:11:52:56 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 486
127.0.0.1 - - [15/May/2014:11:52:56 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 304 -
127.0.0.1 - - [15/May/2014:11:53:31 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 486
127.0.0.1 - - [15/May/2014:11:53:32 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 304 -
127.0.0.1 - - [15/May/2014:11:53:32 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 486
127.0.0.1 - - [15/May/2014:11:53:32 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 304 -
127.0.0.1 - - [15/May/2014:11:59:55 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 223
127.0.0.1 - - [15/May/2014:11:59:55 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 304 -
127.0.0.1 - - [15/May/2014:12:00:00 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 223
127.0.0.1 - - [15/May/2014:12:00:11 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 486
127.0.0.1 - - [15/May/2014:12:00:11 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:12:00:11 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [15/May/2014:12:00:42 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 484
127.0.0.1 - - [15/May/2014:12:00:42 -0500] "GET /favicon.ico HTTP/1.1" 404 983
